bélico/La delgada línea roja.txt,"[1.001448540214462, 0.0, 0.0, 0.0, 3.758288905486104, 0.0, 2.1000608288825715, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4275329355253619, 0.0, 0.0, 0.0, 0.0, 0.26124036483412844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.8960880245566357, 0.0, 0.6729444732424258, 0.0, 0.0, 2.8550658710507237]"
acción/El ultimátum de Bourne.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 1.4069136483226263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0586069540544105, 0.9812458328969424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/Fast and Furious 6.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 1.1192315758708453, 0.0, 2.2823823856765264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 1.0586069540544105, 0.9812458328969424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 2.3675401940168332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/Fast and Furious 5.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 0.0, 0.0, 2.2823823856765264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7350803880336665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bélico/Salvar al soldado Ryan.txt,"[1.001448540214462, 0.0, 0.0, 0.0, 2.505525936990736, 0.0, 2.1000608288825715, 2.1000608288825715, 1.8123787564307907, 1.9459101490553132, 1.1192315758708453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809, 0.0, 0.0, 2.2823823856765264, 3.3891914415488147, 0.26124036483412844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.200121657765143, 0.0, 0.0, 0.0, 2.6882640736699073, 2.1000608288825715, 1.3458889464848516, 0.0, 0.0, 0.7137664677626809]"
acción/Misión imposible III.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8918202981106265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4069136483226263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117213908108821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 1.1837700970084166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bélico/El hundimiento.txt,"[1.001448540214462, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bélico/Rescate al amanecer.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 0.0, 3.357694727612536, 1.589235205116581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809, 0.0, 0.0, 0.0, 1.6945957207744073, 0.26124036483412844, 0.0, 0.0, 0.0, 1.4069136483226263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.589235205116581, 0.0, 1.9459101490553132, 0.0, 0.0, 1.32687094064909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/Venganza 3.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.8960880245566357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4718687493454137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1837700970084166, 0.0, 0.0, 0.6729444732424258, 0.0, 0.0, 0.0]"
acción/El caso Bourne.txt,"[0.0, 0.0, 0.0, 3.6247575128615814, 1.252762968495368, 0.0, 0.0, 0.0, 1.8123787564307907, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8960880245566357, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 0.0, 0.4906229164484712, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1192315758708453, 0.0, 1.32687094064909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
